mentor_id,student_id
MEN003,STU001
MEN008,STU002
MEN008,STU003
MEN005,STU004
MEN004,STU005
MEN005,STU006
MEN009,STU007
MEN008,STU008
MEN004,STU009
MEN005,STU010
MEN008,STU011
MEN002,STU012
MEN005,STU013
MEN004,STU014
MEN005,STU015
MEN006,STU016
MEN006,STU017
MEN009,STU018
MEN002,STU019
MEN003,STU020
MEN003,STU021
MEN004,STU022
MEN007,STU023
MEN003,STU024
MEN004,STU025
MEN002,STU026
MEN007,STU027
MEN007,STU028
MEN006,STU029
MEN009,STU030
MEN008,STU031
MEN007,STU032
MEN001,STU033
MEN004,STU034
MEN007,STU035
MEN007,STU036
MEN010,STU037
MEN001,STU038
MEN010,STU039
MEN007,STU040
MEN008,STU041
MEN001,STU042
MEN006,STU043
MEN005,STU044
MEN007,STU045
MEN007,STU046
MEN009,STU047
MEN009,STU048
MEN010,STU049
MEN004,STU050
