project_id,technology_id
PRJ001,TECH004
PRJ001,TECH005
PRJ001,TECH007
PRJ001,TECH008
PRJ001,TECH001
PRJ002,TECH006
PRJ002,TECH011
PRJ002,TECH014
PRJ002,TECH007
PRJ002,TECH003
PRJ003,TECH015
PRJ003,TECH003
PRJ003,TECH010
PRJ003,TECH009
PRJ003,TECH001
PRJ004,TECH010
PRJ004,TECH015
PRJ004,TECH011
PRJ004,TECH001
PRJ004,TECH002
PRJ005,TECH003
PRJ005,TECH014
PRJ005,TECH008
PRJ005,TECH015
PRJ005,TECH001
PRJ006,TECH007
PRJ006,TECH006
PRJ006,TECH004
PRJ006,TECH008
PRJ007,TECH006
PRJ007,TECH013
PRJ007,TECH007
PRJ007,TECH005
PRJ008,TECH005
PRJ008,TECH014
PRJ008,TECH002
PRJ008,TECH008
PRJ008,TECH001
PRJ009,TECH006
PRJ009,TECH004
PRJ010,TECH013
PRJ010,TECH011
PRJ011,TECH013
PRJ011,TECH001
PRJ012,TECH004
PRJ012,TECH014
PRJ012,TECH001
PRJ013,TECH004
PRJ013,TECH003
PRJ013,TECH008
PRJ014,TECH010
PRJ014,TECH004
PRJ015,TECH012
PRJ015,TECH005
PRJ015,TECH013
PRJ015,TECH006
PRJ015,TECH003
PRJ016,TECH013
PRJ016,TECH014
PRJ017,TECH005
PRJ017,TECH002
PRJ017,TECH010
PRJ018,TECH015
PRJ018,TECH005
PRJ019,TECH007
PRJ019,TECH012
PRJ019,TECH004
PRJ019,TECH002
PRJ019,TECH010
PRJ020,TECH002
PRJ020,TECH012
PRJ020,TECH013
