student_id,certificate_id
STU001,CERT003
STU002,CERT003
STU003,CERT005
STU004,CERT003
STU005,CERT001
STU006,CERT003
STU006,CERT002
STU006,CERT005
STU007,CERT001
STU007,CERT005
STU008,CERT003
STU008,CERT004
STU008,CERT002
STU009,CERT003
STU009,CERT002
STU010,CERT003
STU011,CERT001
STU011,CERT005
STU012,CERT004
STU012,CERT001
STU013,CERT001
STU013,CERT002
STU013,CERT005
STU014,CERT003
STU014,CERT001
STU014,CERT004
STU015,CERT005
STU016,CERT005
STU016,CERT002
STU017,CERT004
STU017,CERT005
STU017,CERT002
STU018,CERT005
STU018,CERT004
STU019,CERT005
STU019,CERT001
STU020,CERT001
STU020,CERT002
STU020,CERT003
STU021,CERT003
STU022,CERT001
STU022,CERT002
STU022,CERT005
STU023,CERT005
STU024,CERT002
STU025,CERT004
STU026,CERT005
STU026,CERT004
STU027,CERT001
STU027,CERT002
STU028,CERT003
STU028,CERT004
STU029,CERT002
STU030,CERT005
STU030,CERT002
STU031,CERT001
STU031,CERT002
STU032,CERT002
STU032,CERT003
STU032,CERT001
STU033,CERT001
STU034,CERT003
STU035,CERT005
STU035,CERT003
STU035,CERT002
STU036,CERT004
STU037,CERT003
STU037,CERT004
STU037,CERT002
STU038,CERT005
STU038,CERT004
STU038,CERT002
STU039,CERT005
STU040,CERT004
STU041,CERT003
STU041,CERT005
STU041,CERT001
STU042,CERT002
STU043,CERT005
STU043,CERT001
STU043,CERT003
STU044,CERT005
STU044,CERT001
STU045,CERT004
STU046,CERT004
STU046,CERT003
STU046,CERT001
STU047,CERT004
STU047,CERT005
STU047,CERT001
STU048,CERT003
STU048,CERT004
STU049,CERT003
STU049,CERT001
STU050,CERT003
