student_id,project_id
STU001,PRJ008
STU001,PRJ009
STU002,PRJ004
STU003,PRJ002
STU003,PRJ016
STU004,PRJ007
STU005,PRJ012
STU005,PRJ010
STU006,PRJ008
STU007,PRJ007
STU008,PRJ011
STU008,PRJ009
STU009,PRJ009
STU010,PRJ017
STU010,PRJ013
STU011,PRJ018
STU011,PRJ011
STU011,PRJ001
STU012,PRJ009
STU013,PRJ019
STU014,PRJ002
STU014,PRJ004
STU015,PRJ014
STU015,PRJ012
STU015,PRJ011
STU016,PRJ020
STU016,PRJ017
STU017,PRJ013
STU018,PRJ007
STU018,PRJ009
STU018,PRJ002
STU019,PRJ014
STU019,PRJ001
STU019,PRJ017
STU020,PRJ007
STU020,PRJ012
STU020,PRJ014
STU021,PRJ011
STU022,PRJ011
STU022,PRJ004
STU022,PRJ010
STU023,PRJ010
STU023,PRJ014
STU023,PRJ011
STU024,PRJ010
STU024,PRJ018
STU025,PRJ007
STU026,PRJ013
STU026,PRJ006
STU027,PRJ019
STU027,PRJ010
STU027,PRJ013
STU028,PRJ001
STU028,PRJ010
STU028,PRJ019
STU029,PRJ014
STU030,PRJ020
STU030,PRJ011
STU030,PRJ015
STU031,PRJ015
STU031,PRJ007
STU032,PRJ016
STU032,PRJ006
STU032,PRJ003
STU033,PRJ017
STU033,PRJ011
STU034,PRJ008
STU035,PRJ010
STU035,PRJ008
STU035,PRJ007
STU036,PRJ001
STU037,PRJ008
STU038,PRJ020
STU038,PRJ003
STU039,PRJ014
STU039,PRJ019
STU040,PRJ013
STU041,PRJ013
STU041,PRJ008
STU042,PRJ001
STU043,PRJ014
STU044,PRJ006
STU045,PRJ017
STU045,PRJ015
STU045,PRJ002
STU046,PRJ008
STU046,PRJ004
STU046,PRJ015
STU047,PRJ015
STU048,PRJ017
STU048,PRJ018
STU048,PRJ011
STU049,PRJ020
STU049,PRJ017
STU050,PRJ018
STU050,PRJ015
